customer_id,gender,senior_citizen,partner,dependents,tenure,age,contract,payment_method,internet_service,paperless_billing,online_security,tech_support,num_products,support_calls,monthly_charges,total_charges,churn
CUST-1000,Female,0,1,1,52,63,Month-to-Month,Mailed Check,Fiber Optic,1,1,1,1,8,34.9,1904.13,1
CUST-1001,Female,0,1,1,15,60,Month-to-Month,Electronic Check,Fiber Optic,0,0,0,3,5,72.66,939.38,0
CUST-1002,Male,1,1,1,61,33,Two Year,Mailed Check,Fiber Optic,0,1,1,3,3,44.61,2314.75,0
CUST-1003,Male,0,1,1,21,21,Month-to-Month,Mailed Check,Fiber Optic,0,0,0,3,1,67.67,1389.86,0
CUST-1004,Male,0,0,1,24,69,Two Year,Mailed Check,No,1,1,1,1,5,59.44,1297.72,1
CUST-1005,Female,0,0,1,3,54,Month-to-Month,Bank Transfer,Fiber Optic,0,0,1,4,1,74.94,201.91,1
CUST-1006,Female,0,1,0,22,38,Two Year,Mailed Check,Fiber Optic,1,0,1,3,4,94.69,1900.65,0
CUST-1007,Male,0,1,0,53,31,Month-to-Month,Credit Card,Fiber Optic,1,0,0,3,5,91.55,4372.8,1
CUST-1008,Female,0,1,0,2,48,Month-to-Month,Electronic Check,DSL,0,1,1,1,3,72.12,123.49,0
CUST-1009,Male,0,1,1,30,65,One Year,Bank Transfer,DSL,0,1,1,2,2,102.24,3203.1,0
CUST-1010,Female,0,0,1,38,35,Two Year,Electronic Check,No,1,1,0,2,6,63.09,2143.65,0
CUST-1011,Female,0,0,0,2,24,Two Year,Bank Transfer,Fiber Optic,1,1,0,4,1,109.67,218.64,0
CUST-1012,Male,1,1,1,64,27,Two Year,Credit Card,Fiber Optic,1,0,1,4,5,27.13,1740.69,0
CUST-1013,Male,1,0,1,60,24,Two Year,Bank Transfer,Fiber Optic,1,0,0,3,3,115.47,7176.59,0
CUST-1014,Female,0,0,0,21,50,Month-to-Month,Bank Transfer,DSL,1,0,0,1,5,85.47,1536.61,0
CUST-1015,Male,0,1,0,33,40,Month-to-Month,Bank Transfer,Fiber Optic,1,1,0,3,3,58.01,1961.06,0
CUST-1016,Male,0,1,0,58,38,Month-to-Month,Electronic Check,Fiber Optic,0,0,1,4,3,39.72,2201.12,0
CUST-1017,Female,0,1,1,22,36,Month-to-Month,Mailed Check,Fiber Optic,1,0,0,1,3,67.92,1459.14,1
CUST-1018,Female,0,0,1,49,65,Month-to-Month,Electronic Check,Fiber Optic,1,1,1,1,8,39.46,1892.73,1
CUST-1019,Female,0,0,1,59,36,Month-to-Month,Mailed Check,DSL,0,1,0,4,6,36.63,2191.34,0
CUST-1020,Male,1,1,0,42,53,Month-to-Month,Electronic Check,DSL,0,0,0,2,2,81.74,3147.04,1
CUST-1021,Female,1,1,0,60,46,One Year,Credit Card,No,0,1,1,2,2,72.31,4323.89,0
CUST-1022,Female,0,0,1,15,35,Month-to-Month,Credit Card,Fiber Optic,1,1,0,1,5,87.01,1247.35,1
CUST-1023,Female,0,0,0,62,19,Month-to-Month,Bank Transfer,Fiber Optic,0,1,0,3,5,112.96,7064.3,0
CUST-1024,Female,0,1,0,62,18,Month-to-Month,Credit Card,DSL,0,1,0,2,3,73.23,4758.69,1
CUST-1025,Female,0,0,1,47,64,One Year,Bank Transfer,DSL,1,0,0,3,8,78.09,3266.98,0
CUST-1026,Male,0,1,0,62,22,One Year,Mailed Check,Fiber Optic,1,0,1,2,3,28.96,1883.37,0
CUST-1027,Female,0,1,0,51,37,One Year,Credit Card,Fiber Optic,1,0,1,2,8,91.76,4061.86,0
CUST-1028,Female,1,0,0,55,28,Month-to-Month,Mailed Check,Fiber Optic,1,0,1,3,3,59.99,2806.06,0
CUST-1029,Male,0,0,1,64,59,Month-to-Month,Electronic Check,DSL,0,0,1,4,1,117.67,6467.76,1
CUST-1030,Female,0,0,1,3,19,Month-to-Month,Mailed Check,Fiber Optic,1,1,1,2,1,102.32,281.9,1
CUST-1031,Female,0,1,0,51,20,Month-to-Month,Electronic Check,DSL,0,0,1,2,4,72.25,3598.46,0
CUST-1032,Male,0,1,1,7,40,Month-to-Month,Mailed Check,DSL,1,0,1,3,3,32.32,195.43,1
CUST-1033,Female,0,1,1,21,29,Month-to-Month,Mailed Check,Fiber Optic,0,1,0,4,6,105.94,1893.55,0
CUST-1034,Male,1,1,1,39,37,Month-to-Month,Credit Card,DSL,1,1,1,2,4,99.98,4045.12,0
CUST-1035,Female,0,1,0,18,22,Two Year,Mailed Check,DSL,1,1,1,2,5,38.46,702.24,0
CUST-1036,Male,0,1,1,4,54,Two Year,Credit Card,Fiber Optic,1,0,1,4,9,49.53,200.47,1
CUST-1037,Male,0,0,0,60,55,Month-to-Month,Credit Card,Fiber Optic,0,1,0,2,3,99.34,6120.64,1
CUST-1038,Female,0,1,0,14,47,Month-to-Month,Bank Transfer,No,0,1,1,4,1,38.52,533.89,0
CUST-1039,Male,0,1,1,9,26,Month-to-Month,Bank Transfer,Fiber Optic,0,1,1,4,9,111.78,876.12,1
CUST-1040,Male,0,1,0,53,51,Month-to-Month,Electronic Check,DSL,1,0,1,3,8,62.45,3077.56,0
CUST-1041,Female,0,1,1,2,61,Two Year,Mailed Check,DSL,0,1,0,1,9,28.7,57.09,0
CUST-1042,Female,0,0,1,60,52,Month-to-Month,Electronic Check,No,1,1,1,4,6,101.57,5521.75,1
CUST-1043,Male,0,1,0,71,69,One Year,Mailed Check,Fiber Optic,1,0,0,3,3,57.35,4020.88,0
CUST-1044,Female,0,0,0,44,39,Month-to-Month,Bank Transfer,Fiber Optic,1,1,0,1,2,72.65,2732.77,0
CUST-1045,Male,0,0,1,8,61,Two Year,Bank Transfer,DSL,0,0,0,2,9,31.23,227.66,1
CUST-1046,Male,0,1,1,47,41,Month-to-Month,Mailed Check,Fiber Optic,1,0,0,1,2,20.26,913.97,1
CUST-1047,Female,0,1,1,35,34,One Year,Mailed Check,DSL,0,1,1,4,8,83.8,2863.83,0
CUST-1048,Female,0,0,1,36,27,Month-to-Month,Bank Transfer,Fiber Optic,1,0,0,4,4,71.52,2485.66,0
CUST-1049,Male,0,0,0,50,47,One Year,Bank Transfer,No,1,1,0,4,2,79.35,3926.04,0
CUST-1050,Female,0,1,0,4,63,Month-to-Month,Electronic Check,No,1,1,1,4,4,99.37,338.34,1
CUST-1051,Female,0,0,0,2,40,Month-to-Month,Bank Transfer,Fiber Optic,0,1,0,4,1,84.66,147.34,1
CUST-1052,Male,0,1,1,6,49,Two Year,Mailed Check,Fiber Optic,0,1,0,3,3,37.48,230.23,0
CUST-1053,Male,0,1,0,54,34,Two Year,Electronic Check,No,1,0,0,4,9,56.08,2986.98,0
CUST-1054,Male,0,0,0,4,67,Two Year,Mailed Check,Fiber Optic,0,1,0,3,1,110.59,386.0,0
CUST-1055,Male,0,1,0,54,68,One Year,Credit Card,DSL,0,1,0,2,1,96.99,5333.91,0
CUST-1056,Male,0,1,0,63,34,Two Year,Electronic Check,Fiber Optic,1,1,0,4,7,75.66,4282.52,0
CUST-1057,Male,0,1,1,18,31,Month-to-Month,Mailed Check,DSL,1,0,1,4,0,45.56,775.51,0
